TF,Target,Label
7863,6024,1
7863,7056,1
7863,5793,1
7863,1044,1
7863,8522,1
7863,904,1
7863,8494,1
7863,4951,1
7863,6641,1
7863,10169,1
7863,9704,1
7863,7116,1
7863,4910,1
7863,10597,1
7863,2555,1
7863,9334,1
7863,10218,1
7863,3903,1
7863,6805,1
7863,11388,1
7863,4092,1
7863,9129,1
7863,2985,1
7863,7411,1
7863,1359,1
7863,10790,1
7863,4510,1
7863,1205,1
7863,7883,1
7863,7463,1
7863,11282,1
7863,1121,1
7863,3653,1
7863,10905,1
7863,2836,1
7863,182,1
7863,6093,1
7863,10603,1
7863,5917,1
7863,1109,1
7863,1333,1
7863,3266,1
7863,6880,1
7863,5022,1
7863,7130,1
7863,8682,1
7863,422,1
7863,8787,1
7863,6529,1
7863,8197,1
7863,2932,1
7863,4895,1
7863,9942,1
7863,8036,1
7863,6177,1
7863,8288,1
7863,10852,1
7863,585,1
7863,3017,1
7863,5079,1
7863,3166,1
7863,3853,1
7863,9372,1
7863,6472,1
7863,7066,1
7863,3810,1
7863,2476,1
7863,5281,1
7863,4686,1
7863,1749,1
7863,7893,1
7863,144,1
7863,3726,1
7863,3294,1
7863,3595,1
7863,7300,1
7863,12047,1
7863,8623,1
7863,2689,1
7863,6088,1
7863,6369,1
7863,3814,1
7863,9231,1
7863,10489,1
7863,8130,1
7863,12021,1
7863,7004,1
7863,485,1
7863,9041,1
7863,5193,1
7863,3128,1
7863,2287,1
7863,9677,1
7863,1874,1
7863,158,1
7863,9154,1
7863,107,1
7863,10578,1
7863,9468,1
7863,1711,1
7863,1102,1
7863,2509,1
7863,7480,1
7863,11522,1
7863,8079,1
7863,6286,1
7863,10339,1
7863,3679,1
7863,5725,1
7863,7273,1
7863,10668,1
7863,11461,1
7863,2112,1
7863,2184,1
7863,6216,1
7863,5072,1
7863,1505,1
7863,7731,1
7863,0,1
7863,8830,1
7863,9730,1
7863,2992,1
7863,6189,1
7863,4022,1
7863,6009,1
7863,7510,1
7863,2888,1
7863,7746,1
7863,5523,1
7863,4527,1
7863,11825,1
7863,7671,1
7863,11958,1
7863,7316,1
7863,6899,1
7863,11288,1
7863,11059,1
7863,11982,1
7863,6029,1
7863,1335,1
7863,7939,1
7863,1009,1
7863,7495,1
7863,8878,1
7863,8664,1
7863,7009,1
7863,817,1
7863,3836,1
7863,6692,1
7863,8082,1
7863,4177,1
7863,10412,1
7863,5118,1
7863,11428,1
7863,6248,1
7863,10214,1
7863,8254,1
7863,9105,1
7863,10141,1
7863,1330,1
7863,5499,1
7863,2291,1
7863,6496,1
7863,9079,1
7863,1917,1
7863,9964,1
7863,4255,1
7863,6516,1
7863,4284,1
7863,9767,1
7863,9206,1
7863,2183,1
7863,4454,1
7863,10161,1
7863,1422,1
7863,9256,1
7863,2167,1
7863,4532,1
7863,11472,1
7863,1410,1
7863,7896,1
7863,6176,1
7863,32,1
7863,2489,1
7863,3315,1
7863,11997,1
7863,11340,1
7863,8403,1
7863,243,1
7863,11900,1
7863,6670,1
7863,1545,1
7863,3820,1
7863,7157,1
7863,10033,1
7863,3849,1
7863,2901,1
7863,7978,1
7863,1398,1
7863,6847,1
7863,7765,1
7863,299,1
7863,10951,1
7863,11938,1
7863,7165,1
7863,4384,1
7863,507,1
7863,5718,1
7863,792,1
7863,4393,1
7863,10970,1
7863,1088,1
7863,11833,1
7863,8018,1
7863,5988,1
7863,9282,1
7863,5902,1
7863,4815,1
7863,11103,1
7863,9720,1
7863,3629,1
7863,3718,1
7863,811,1
7863,1863,1
7863,7298,1
7863,761,1
7863,486,1
7863,166,1
7863,2260,1
7863,368,1
7863,9445,1
7863,7862,1
7863,4504,1
7863,1644,1
7863,6279,1
7863,10528,1
7863,9710,1
7863,4619,1
7863,9878,1
7863,602,1
7863,6277,1
7863,2674,1
7863,9471,1
7863,4253,1
7863,9037,1
7863,9234,1
7863,8711,1
7863,2171,1
7863,6708,1
7863,1971,1
7863,5591,1
7863,2356,1
7863,9626,1
7863,4451,1
7863,7107,1
7863,2699,1
7863,958,1
7863,5337,1
7863,3927,1
7863,10166,1
7863,9822,1
7863,5063,1
7863,9204,1
7863,11896,1
7863,11859,1
7863,2054,1
7863,8360,1
7863,11590,1
7863,11330,1
7863,3628,1
7863,1128,1
7863,8290,1
7863,6868,1
7863,11487,1
7863,4254,1
7863,9746,1
7863,779,1
7863,9414,1
7863,7551,1
7863,1930,1
7863,6693,1
7863,7484,1
7863,10053,1
7863,1888,1
7863,3406,1
7863,8876,1
7863,4062,1
7863,4244,1
7863,11789,1
7863,6033,1
7863,11570,1
7863,2861,1
7863,654,1
7863,9973,1
7863,363,1
7863,5335,1
7863,10344,1
7863,3545,1
7863,4963,1
7863,872,1
7863,5149,1
7863,8638,1
7863,10926,1
7863,4731,1
7863,7564,1
7863,5260,1
7863,8222,1
7863,2440,1
7863,3200,1
7863,1799,1
7863,8433,1
7863,4079,1
7863,3878,1
7863,1714,1
7863,5008,1
7863,3138,1
7863,3095,1
7863,10866,1
7863,3959,1
7863,1585,1
7863,6571,1
7863,10076,1
7863,9258,1
7863,4671,1
7863,11029,1
7863,5903,1
7863,2928,1
7863,3321,1
7863,2475,1
7863,10498,1
7863,10604,1
7863,10527,1
7863,4212,1
7863,4153,1
7863,1103,1
7863,9368,1
7863,11548,1
7863,1860,1
7863,2929,1
7863,9108,1
7863,9220,1
7863,6770,1
7863,2250,1
7863,1657,1
7863,5300,1
7863,866,1
7863,1322,1
7863,7224,1
7863,4305,1
7863,997,1
7863,8509,1
7863,6887,1
7863,5166,1
7863,9402,1
7863,5456,1
7863,5266,1
7863,6969,1
7863,8639,1
7863,4348,1
7863,4979,1
7863,3373,1
7863,12213,1
7863,9286,1
7863,5811,1
7863,7556,1
7863,3122,1
7863,12084,1
7863,8938,1
7863,1774,1
7863,6924,1
7863,3777,1
7863,2797,1
7863,587,1
7863,7872,1
7863,8527,1
7863,10935,1
7863,10942,1
7863,3041,1
7863,3542,1
7863,2368,1
7863,4046,1
7863,6140,1
7863,11996,1
7863,6333,1
7863,207,1
7863,9393,1
7863,696,1
7863,2014,1
7863,1938,1
7863,3952,1
7863,11403,1
7863,3634,1
7863,5951,1
7863,6642,1
7863,8397,1
7863,9805,1
7863,9974,1
7863,1309,1
7863,7613,1
7863,6186,1
7863,12068,1
7863,3130,1
7863,5912,1
7863,10433,1
7863,1969,1
7863,12108,1
7863,4634,1
7863,2278,1
7863,3733,1
7863,4764,1
7863,3844,1
7863,6473,1
7863,10249,1
7863,4110,1
7863,4701,1
7863,7821,1
7863,8653,1
7863,10982,1
7863,263,1
7863,4312,1
7863,1407,1
7863,2824,1
7863,5735,1
7863,2186,1
7863,10913,1
7863,8138,1
7863,5956,1
7863,9397,1
7863,10535,1
7863,9396,1
7863,9,1
7863,5429,1
7863,2976,1
7863,10878,1
7863,2965,1
7863,3611,1
7863,9828,1
7863,5269,1
7863,7819,1
7863,5275,1
7863,194,1
7863,4618,1
7863,8683,1
7863,8737,1
7863,702,1
7863,12156,1
7863,7838,1
7863,6149,1
7863,3843,1
7863,9423,1
7863,3741,1
7863,3469,1
7863,868,1
7863,11508,1
7863,6508,1
7863,4113,1
7863,3621,1
7863,6853,1
7863,10798,1
7863,10448,1
7863,4040,1
7863,9491,1
7863,9455,1
7863,11653,1
7863,5204,1
7863,360,1
7863,10562,1
7863,1237,1
7863,10463,1
7863,3432,1
7863,9943,1
7863,10091,1
7863,6938,1
7863,18,1
7863,5864,1
7863,5624,1
7863,11783,1
7863,5167,1
7863,4283,1
7863,3179,1
7863,1932,1
7863,713,1
7863,7173,1
7863,5206,1
7863,2573,1
7863,5792,1
7863,7422,1
7863,5051,1
7863,4056,1
7863,6407,1
7863,6858,1
7863,4803,1
7863,3229,1
7863,870,1
7863,1844,1
7863,1405,1
7863,3208,1
7863,8028,1
7863,9694,1
7863,3823,1
7863,3985,1
7863,10416,1
7863,5112,1
7863,3353,1
7863,1649,1
7863,9612,1
7863,5602,1
7863,2105,1
7863,7670,1
7863,10440,1
7863,8708,1
7863,8304,1
7863,9679,1
7863,1567,1
7863,2605,1
7863,1823,1
7863,1850,1
7863,10165,1
7863,10120,1
7863,1501,1
7863,4302,1
7863,4794,1
7863,11962,1
7863,7257,1
7863,7311,1
7863,122,1
7863,6385,1
7863,1073,1
7863,449,1
7863,11283,1
7863,346,1
7863,5189,1
7863,965,1
7863,10497,1
7863,5197,1
7863,976,1
7863,10225,1
7863,8319,1
7863,4728,1
7863,5850,1
7863,4496,1
7863,9084,1
7863,2114,1
7863,1254,1
7863,7740,1
7863,3954,1
7863,9054,1
7863,7177,1
7863,10144,1
7863,2715,1
7863,9896,1
7863,238,1
7863,6219,1
7863,8954,1
7863,5749,1
7863,9670,1
7863,6604,1
7863,11852,1
7863,10398,1
7863,5745,1
7863,8985,1
7863,1029,1
7863,11446,1
7863,8377,1
7863,12183,1
7863,4002,1
7863,8993,1
7863,2292,1
7863,8839,1
7863,183,1
7863,3587,1
7863,6873,1
7863,11511,1
7863,5463,1
7863,2034,1
7863,11061,1
7863,2622,1
7863,9244,1
7863,12148,1
7863,9269,1
7863,5815,1
7863,8317,1
7863,8633,1
7863,12103,1
7863,6380,1
7863,7985,1
7863,5825,1
7863,8423,1
7863,11609,1
7863,3180,1
7863,7816,1
7863,6229,1
7863,6867,1
7863,5069,1
7863,6937,1
7863,7153,1
7863,7662,1
7863,3034,1
7863,12033,1
7863,4497,1
7863,10060,1
7863,502,1
7863,9873,1
7863,9825,1
7863,8348,1
7863,2389,1
7863,9576,1
7863,1796,1
7863,10952,1
