TF,Target,Label
10959,987,1
10959,8154,1
10959,8476,1
10959,697,1
10959,7705,1
10959,9316,1
10959,8917,1
10959,11919,1
10959,10038,1
10959,2810,1
10959,10599,1
10959,4181,1
10959,11908,1
10959,6015,1
10959,7665,1
10959,6825,1
10959,779,1
10959,9056,1
10959,11517,1
10959,940,1
10959,9278,1
10959,2580,1
10959,7985,1
10959,9290,1
10959,7249,1
10959,11300,1
10959,4976,1
10959,2955,1
10959,2734,1
10959,5576,1
10959,616,1
10959,9414,1
10959,6718,1
10959,9207,1
10959,584,1
10959,8951,1
10959,9267,1
10959,8284,1
10959,3843,1
10959,8695,1
10959,11573,1
10959,6870,1
10959,164,1
10959,4122,1
10959,175,1
10959,694,1
10959,2314,1
10959,536,1
10959,900,1
10959,8799,1
10959,11494,1
10959,4321,1
10959,5698,1
10959,337,1
10959,6067,1
10959,8975,1
10959,3821,1
10959,7304,1
10959,1526,1
10959,4472,1
10959,10786,1
10959,10659,1
10959,6890,1
10959,7189,1
10959,2694,1
10959,10835,1
10959,2007,1
10959,121,1
10959,7749,1
10959,11588,1
10959,4086,1
10959,11295,1
10959,9513,1
10959,3105,1
10959,10922,1
10959,4190,1
10959,1764,1
10959,9465,1
10959,10686,1
10959,354,1
10959,8099,1
10959,6461,1
10959,1887,1
10959,6797,1
10959,6763,1
10959,5273,1
10959,7375,1
10959,3386,1
10959,6996,1
10959,10968,1
10959,1496,1
10959,11663,1
10959,10033,1
10959,10068,1
10959,6709,1
10959,8121,1
10959,10027,1
10959,2516,1
10959,224,1
10959,5681,1
10959,12061,1
10959,4868,1
10959,8140,1
10959,1553,1
10959,60,1
10959,9105,1
10959,10953,1
10959,6452,1
10959,3895,1
10959,11245,1
10959,6206,1
10959,588,1
10959,669,1
10959,6,1
10959,7764,1
10959,8456,1
10959,10684,1
10959,4952,1
10959,11453,1
10959,3373,1
10959,10141,1
10959,5630,1
10959,3152,1
10959,11607,1
10959,11446,1
10959,5600,1
10959,9178,1
10959,5235,1
10959,5102,1
10959,604,1
10959,7183,1
10959,9243,1
10959,3772,1
10959,3133,1
10959,8761,1
10959,3690,1
10959,8944,1
10959,10990,1
10959,9258,1
10959,12013,1
10959,7216,1
10959,1101,1
10959,8235,1
10959,11579,1
10959,6080,1
10959,8159,1
10959,2431,1
10959,5401,1
10959,11758,1
10959,5851,1
10959,488,1
10959,7633,1
10959,11737,1
10959,9367,1
10959,1072,1
10959,7762,1
10959,4741,1
10959,10861,1
10959,8669,1
10959,9483,1
10959,70,1
10959,793,1
10959,6308,1
10959,7750,1
10959,2023,1
10959,10188,1
10959,6222,1
10959,2794,1
10959,632,1
10959,4511,1
10959,279,1
10959,6457,1
10959,756,1
10959,11574,1
10959,9471,1
10959,10983,1
10959,1145,1
10959,7097,1
10959,10657,1
10959,2815,1
10959,6568,1
10959,5641,1
10959,1796,1
10959,7397,1
10959,4525,1
10959,7604,1
10959,8285,1
10959,2380,1
10959,2163,1
10959,11391,1
10959,3191,1
10959,1179,1
10959,9034,1
10959,5980,1
10959,9089,1
10959,7492,1
10959,2757,1
10959,11528,1
10959,11996,1
10959,6085,1
10959,3748,1
10959,8724,1
10959,3085,1
10959,3284,1
10959,542,1
10959,8560,1
10959,10451,1
10959,258,1
10959,1585,1
10959,4445,1
10959,9022,1
10959,6192,1
10959,9946,1
10959,269,1
10959,6839,1
10959,4647,1
10959,4782,1
10959,3611,1
10959,6959,1
10959,4807,1
10959,8443,1
10959,1013,1
10959,7520,1
10959,383,1
10959,4937,1
10959,7160,1
10959,4560,1
10959,947,1
10959,9608,1
10959,11950,1
10959,8390,1
10959,10446,1
10959,12202,1
10959,11931,1
10959,7910,1
10959,5134,1
10959,10996,1
10959,7844,1
10959,6663,1
10959,10346,1
10959,8334,1
10959,6540,1
10959,6492,1
10959,11503,1
10959,10336,1
10959,8577,1
10959,6191,1
10959,8172,1
10959,8908,1
10959,2772,1
10959,6685,1
10959,3543,1
10959,5365,1
10959,4005,1
10959,6100,1
10959,1570,1
10959,3547,1
10959,402,1
10959,3770,1
10959,8721,1
10959,7437,1
10959,4140,1
10959,3473,1
10959,870,1
10959,2544,1
10959,2033,1
10959,4492,1
10959,5894,1
10959,6545,1
10959,10598,1
10959,7885,1
10959,9689,1
10959,9372,1
10959,10894,1
10959,3463,1
10959,10408,1
10959,7246,1
10959,334,1
10959,5364,1
10959,6946,1
10959,7495,1
10959,10616,1
10959,7411,1
10959,7967,1
10959,12076,1
10959,81,1
10959,8411,1
10959,7682,1
10959,12121,1
10959,2072,1
10959,6988,1
10959,5024,1
10959,590,1
10959,6682,1
10959,3692,1
10959,11580,1
10959,1118,1
10959,10480,1
10959,3870,1
10959,4621,1
10959,4048,1
10959,8879,1
10959,4150,1
10959,144,1
10959,5801,1
10959,11200,1
10959,9516,1
10959,8128,1
10959,11571,1
10959,8110,1
10959,3963,1
10959,2365,1
10959,2917,1
10959,6999,1
10959,3434,1
10959,10309,1
10959,8855,1
10959,5349,1
10959,4748,1
10959,9847,1
10959,11997,1
10959,4425,1
10959,10520,1
10959,611,1
10959,7996,1
10959,6020,1
10959,11229,1
10959,12181,1
10959,4390,1
10959,2279,1
10959,7587,1
10959,9059,1
10959,5392,1
10959,7265,1
10959,3585,1
10959,386,1
10959,1402,1
10959,8231,1
10959,6090,1
10959,1302,1
10959,8871,1
