Gene,Index
POLR3D,0
SMPD2,1
SMS,2
SUMO3,3
SIGLEC1,4
SNAI1,5
SNAP25,6
SNAPC1,7
SNAPC2,8
SNAPC3,9
BNIP1,10
SNCB,11
SNAPC4,12
SNCA,13
SNCG,14
FSCN1,15
SNRNP70,16
SNRPA,17
SNRPA1,18
SNRPB,19
SNRPB2,20
BNIP2,21
SNRPC,22
SNRPD1,23
SNRPD2,24
SNRPD3,25
SNRPE,26
SNRPF,27
SNRPG,28
SNRPN,29
BNIP3,30
SNTA1,31
SNTB1,32
SNX1,33
SNX2,34
SNTB2,35
SOAT1,36
SOD1,37
SOD2,38
SOD3,39
BNIP3L,40
CAPN15,41
SON,42
SORD,43
SORL1,44
SOS1,45
SOS2,46
SOX1,47
SOX2,48
SOX3,49
SOX4,50
BOK,51
SOX5,52
SOX9,53
SOX10,54
SOX11,55
SOX15,56
SOX12,57
SP1,58
SP2,59
DST,60
SP3,61
SP4,62
SP100,63
SPAG1,64
UAP1,65
SPAG4,66
SPAM1,67
SPARC,68
FOXL2,69
SPAST,70
SPG7,71
SPI1,72
SPIB,73
BPGM,74
SPINK1,75
SPINK2,76
SPINT1,77
SPN,78
SPP2,79
SPOCK1,80
SPP1,81
SPR,82
SPRR1A,83
SPRR1B,84
BPHL,85
SPRR2B,86
SPRR3,87
SPTA1,88
SPTAN1,89
BPI,90
SPTB,91
SPTBN1,92
SPTBN2,93
SQLE,94
SRC,95
SRD5A1,96
SRI,97
AKR1D1,98
BRCA1,99
SREBF1,100
SREBF2,101
SRF,102
SRM,103
SRP9,104
SRP14,105
SRP54,106
BRAF,107
SRP72,108
SRPK1,109
SRPK2,110
SRPRA,111
SRY,112
TRIM21,113
RO60,114
SSB,115
SSBP1,116
ITPRID2,117
SSR1,118
SSR2,119
SSR3,120
SSR4,121
SSRP1,122
BRCA2,123
SST,124
SSTR1,125
SSTR2,126
SSTR3,127
SSTR4,128
SSTR5,129
SSX1,130
BRDT,131
SS18,132
ST13,133
ST14,134
STAC,135
ZFP36L1,136
STAR,137
STAT1,138
STAT2,139
STAT3,140
STAT4,141
STAT5A,142
STAT5B,143
STAT6,144
STATH,145
ZFP36L2,146
STAU1,147
STC1,148
HSPA13,149
SULT1E1,150
ELOVL4,151
STIM1,152
NEK4,153
STK3,154
STK4,155
AURKA,156
CDKL5,157
STK10,158
STK11,159
AURKC,160
SULT1A2,161
BRS3,162
STRN,163
STX1A,164
STX3,165
STX4,166
STXBP1,167
STXBP2,168
STXBP3,169
SULT1A1,170
SULT1C2,171
BSG,172
SULT2B1,173
SUOX,174
SULT2A1,175
SUPT4H1,176
SUPT5H,177
BST1,178
SUPT6H,179
SUPV3L1,180
ABCC8,181
SURF1,182
SURF2,183
MED22,184
SUV39H1,185
BST2,186
SVIL,187
VAMP1,188
VAMP2,189
VAMP7,190
SYCP1,191
BTC,192
SYK,193
SYN1,194
SYP,195
SYPL1,196
SYT1,197
BTD,198
SYT5,199
TBXT,200
TAC1,201
TACR2,202
TAC3,203
