TF,Target,Label
8212,11344,1
8212,5354,1
8212,6784,1
8212,463,1
8212,5992,1
8212,6325,1
8212,5025,1
8212,7301,1
8212,11036,1
8212,900,1
8212,8551,1
8212,6590,1
8212,10428,1
8212,10476,1
8212,4352,1
8212,2867,1
8212,1732,1
8212,10578,1
8212,6073,1
8212,7549,1
8212,11974,1
8212,5787,1
8212,8981,1
8212,7669,1
8212,1232,1
8212,6826,1
8212,1434,1
8212,368,1
8212,8862,1
8212,1486,1
8212,57,1
8212,1669,1
8212,11860,1
8212,6140,1
8212,9445,1
8212,3084,1
8212,5231,1
8212,10905,1
8212,1540,1
8212,262,1
8212,11358,1
8212,2583,1
8212,1164,1
8212,7393,1
8212,3256,1
8212,11107,1
8212,9972,1
8212,9797,1
8212,3009,1
8212,2073,1
8212,7294,1
8212,9022,1
8212,3326,1
8212,6961,1
8212,11647,1
8212,11639,1
8212,8077,1
8212,9714,1
8212,5539,1
8212,7516,1
8212,10185,1
8212,8561,1
8212,5901,1
8212,892,1
8212,11938,1
8212,10599,1
8212,10990,1
8212,3697,1
8212,7560,1
8212,3268,1
8212,3985,1
8212,5623,1
8212,8607,1
8212,5051,1
8212,7285,1
8212,3134,1
8212,4454,1
8212,3081,1
8212,1410,1
8212,6258,1
8212,288,1
8212,5352,1
8212,2653,1
8212,2253,1
8212,9372,1
8212,10840,1
8212,7084,1
8212,4302,1
8212,4004,1
8212,6767,1
8212,2517,1
8212,813,1
8212,242,1
8212,6381,1
8212,7551,1
8212,11397,1
8212,10375,1
8212,5950,1
8212,8194,1
8212,11235,1
8212,688,1
8212,5493,1
8212,3126,1
8212,1965,1
8212,11754,1
8212,1233,1
8212,7559,1
8212,6621,1
8212,8085,1
8212,7621,1
8212,2275,1
8212,2022,1
8212,5626,1
8212,630,1
8212,9613,1
8212,3408,1
8212,6018,1
8212,2106,1
8212,11977,1
8212,9959,1
8212,6954,1
8212,10221,1
8212,6413,1
8212,6598,1
8212,255,1
8212,2928,1
8212,6428,1
8212,11699,1
8212,7422,1
8212,9082,1
8212,5678,1
8212,1719,1
8212,7618,1
8212,7952,1
8212,6966,1
8212,7015,1
8212,5864,1
8212,9590,1
8212,3964,1
8212,5967,1
8212,3028,1
8212,13,1
8212,1624,1
8212,3092,1
8212,5948,1
8212,5212,1
8212,7683,1
8212,5799,1
8212,5835,1
8212,6947,1
8212,7670,1
8212,7616,1
8212,4150,1
8212,7542,1
8212,222,1
8212,8914,1
8212,11552,1
8212,4251,1
8212,11071,1
8212,5101,1
8212,2895,1
8212,8017,1
8212,5178,1
8212,3705,1
8212,11572,1
8212,5235,1
8212,7579,1
8212,1059,1
8212,559,1
8212,12052,1
8212,4855,1
8212,7267,1
8212,8876,1
8212,10410,1
8212,9847,1
8212,11211,0
8212,330,0
8212,6096,0
8212,11771,0
8212,12105,0
8212,556,0
8212,8939,0
8212,11069,0
8212,6858,0
8212,7365,0
8212,9830,0
8212,1285,0
8212,10576,0
8212,1553,0
8212,1582,0
8212,3922,0
8212,10248,0
8212,6332,0
8212,1425,0
8212,5402,0
8212,834,0
8212,1137,0
8212,6990,0
8212,8549,0
8212,2483,0
8212,8393,0
8212,1862,0
8212,6731,0
8212,6642,0
8212,450,0
8212,8065,0
8212,11258,0
8212,3838,0
8212,3900,0
8212,3737,0
8212,6208,0
8212,5079,0
8212,527,0
8212,6719,0
8212,1574,0
8212,6319,0
8212,4488,0
8212,4061,0
8212,1891,0
8212,795,0
8212,4839,0
8212,2153,0
8212,8647,0
8212,2089,0
8212,11377,0
8212,10796,0
8212,6666,0
8212,10994,0
8212,10771,0
8212,2884,0
8212,3752,0
8212,4939,0
8212,1327,0
8212,2756,0
8212,9721,0
8212,11900,0
8212,11527,0
8212,6221,0
8212,8514,0
8212,7954,0
8212,6593,0
8212,2736,0
8212,9302,0
8212,826,0
8212,6991,0
8212,8938,0
8212,435,0
8212,9376,0
8212,7820,0
8212,9746,0
8212,9261,0
8212,11470,0
8212,9300,0
8212,4268,0
8212,7772,0
8212,1237,0
8212,10604,0
8212,5041,0
8212,3470,0
8212,10451,0
8212,8174,0
8212,3685,0
8212,1823,0
8212,12021,0
8212,10168,0
8212,7229,0
8212,4721,0
8212,3095,0
8212,8423,0
8212,2537,0
8212,4921,0
8212,7619,0
8212,6846,0
8212,8287,0
8212,3211,0
8212,11776,0
8212,4155,0
8212,295,0
8212,9284,0
8212,5723,0
8212,3780,0
8212,838,0
8212,3684,0
8212,2811,0
8212,636,0
8212,2608,0
8212,4605,0
8212,5894,0
8212,8782,0
8212,4614,0
8212,403,0
8212,6668,0
8212,4441,0
8212,4526,0
8212,10424,0
8212,4017,0
8212,3816,0
8212,7184,0
8212,9680,0
8212,6498,0
8212,5226,0
8212,5477,0
8212,10643,0
8212,11301,0
8212,1418,0
8212,11499,0
8212,5757,0
8212,1028,0
8212,1023,0
8212,4636,0
8212,5877,0
8212,8159,0
8212,7033,0
8212,3822,0
8212,7610,0
8212,10588,0
8212,6568,0
8212,4952,0
8212,5034,0
8212,6322,0
8212,1585,0
8212,5521,0
8212,4987,0
8212,1073,0
8212,1797,0
8212,3030,0
8212,1367,0
8212,10748,0
8212,5468,0
8212,5277,0
8212,6733,0
8212,5821,0
8212,11078,0
8212,8856,0
8212,9670,0
8212,8345,0
8212,4686,0
8212,11248,0
8212,4347,0
8212,8097,0
8212,6161,0
8212,10144,0
8212,7467,0
8212,4059,0
8212,8632,0
8212,510,0
8212,3014,0
8212,4660,0
8212,10836,0
8212,11478,0
2022,1151,1
2022,6326,1
2022,5043,1
2022,9968,1
2022,547,1
2022,11742,1
2022,7246,1
2022,5907,1
2022,4933,1
2022,5023,1
2022,110,1
2022,3848,1
2022,6088,1
2022,2130,1
2022,8617,1
2022,11441,1
2022,9140,1
2022,7585,1
