TF,Target,Label
8212,6073,1
8212,368,1
8212,892,1
8212,13,1
8212,6966,1
8212,11973,1
8212,3748,1
8212,5948,1
8212,2517,1
8212,5143,1
8212,5051,1
8212,1164,1
8212,11235,1
8212,9996,1
8212,8085,1
8212,10578,1
8212,3326,1
8212,4004,1
8212,7516,1
8212,3084,1
8212,6784,1
8212,7542,1
8212,2583,1
8212,11938,1
8212,6381,1
8212,4528,1
8212,5235,1
8212,3985,1
8212,4095,1
8212,5965,1
8212,7914,1
8212,1059,1
8212,7285,1
8212,5352,1
8212,1434,1
8212,3256,1
8212,1233,1
8212,5231,1
8212,9613,1
8212,6140,1
8212,813,1
8212,8561,1
8212,6325,1
8212,6826,1
8212,5901,1
8212,1865,1
8212,7670,1
8212,592,1
8212,11036,1
8212,8017,1
8212,7669,1
8212,242,1
8212,630,1
8212,11639,1
8212,7084,1
8212,10185,1
8212,1719,1
8212,1966,1
8212,4150,1
8212,2294,1
8212,6947,1
8212,5992,1
8212,11229,1
8212,11754,1
8212,3028,1
8212,11107,1
8212,4454,1
8212,4635,1
8212,1624,1
8212,5400,1
8212,10990,1
8212,2073,1
8212,6426,1
8212,11923,1
8212,2553,1
8212,4251,1
8212,3125,1
8212,3697,1
8212,5024,1
8212,900,1
8212,9953,1
8212,8398,1
8212,288,1
8212,11572,1
8212,5799,1
8212,8981,1
8212,688,1
8212,6598,1
8212,5623,1
8212,6258,1
8212,262,1
8212,6767,1
8212,6572,1
8212,7422,1
8212,3092,1
8212,11552,1
8212,7618,1
8212,3088,1
8212,2694,1
8212,7560,1
8212,2895,1
8212,11547,1
8212,5864,1
8212,10476,1
8212,9082,1
8212,12090,1
8212,4855,1
8212,1669,1
8212,2364,1
8212,1112,1
8212,8862,1
8212,6348,1
8212,2512,1
8212,10410,1
8212,7301,1
8212,8914,1
8212,7393,1
8212,7267,1
8212,9972,1
8212,10599,1
8212,9590,1
8212,5101,1
8212,57,1
8212,1326,1
8212,7683,1
8212,3964,1
8212,11299,1
8212,1232,1
8212,10920,1
8212,11230,1
8212,7726,1
8212,3134,1
8212,7952,1
8212,3821,1
8212,10305,1
8212,559,1
8212,5539,1
8212,5763,1
8212,8077,1
8212,4302,1
8212,5991,1
8212,7549,1
8212,9685,1
8212,7342,1
8212,7015,1
8212,4352,1
8212,2653,1
8212,10552,1
8212,8551,1
8212,5354,1
8212,2587,0
8212,8247,0
8212,3827,0
8212,3526,0
8212,3653,0
8212,7381,0
8212,2370,0
8212,10887,0
8212,7305,0
8212,8754,0
8212,9365,0
8212,9534,0
8212,1388,0
8212,7051,0
8212,4884,0
8212,12008,0
8212,6393,0
8212,8672,0
8212,5635,0
8212,8611,0
8212,2519,0
8212,2810,0
8212,2462,0
8212,68,0
8212,5028,0
8212,5162,0
8212,333,0
8212,9640,0
8212,11506,0
8212,6842,0
8212,7434,0
8212,11000,0
8212,5929,0
8212,9400,0
8212,5105,0
8212,12072,0
8212,4227,0
8212,3799,0
8212,1319,0
8212,491,0
8212,5795,0
8212,5388,0
8212,5364,0
8212,5786,0
8212,6384,0
8212,619,0
8212,2861,0
8212,8731,0
8212,6812,0
8212,1470,0
8212,2160,0
8212,128,0
8212,4830,0
8212,8103,0
8212,6328,0
8212,3040,0
8212,9444,0
8212,8317,0
8212,10632,0
8212,3432,0
8212,9264,0
8212,9345,0
8212,1892,0
8212,5140,0
8212,1493,0
8212,10659,0
8212,4495,0
8212,9250,0
8212,3119,0
8212,7328,0
8212,7415,0
8212,6103,0
8212,10031,0
8212,2549,0
8212,252,0
8212,4089,0
8212,9268,0
8212,6716,0
8212,2159,0
8212,5888,0
8212,1530,0
8212,4715,0
8212,3693,0
8212,6926,0
8212,1347,0
8212,4869,0
8212,9636,0
8212,11586,0
8212,1931,0
8212,11925,0
8212,1519,0
8212,2775,0
8212,392,0
8212,2330,0
8212,9967,0
8212,11956,0
8212,9659,0
8212,5453,0
8212,6208,0
8212,2117,0
8212,8046,0
8212,8640,0
8212,2431,0
8212,10872,0
8212,4824,0
8212,11369,0
8212,9455,0
8212,5398,0
8212,479,0
8212,7444,0
8212,9395,0
8212,10210,0
8212,8291,0
8212,2035,0
8212,7917,0
8212,11854,0
8212,11500,0
8212,1655,0
8212,10818,0
8212,5631,0
8212,6316,0
8212,4914,0
8212,11878,0
8212,7987,0
8212,11821,0
8212,4605,0
8212,11480,0
8212,1978,0
8212,7389,0
8212,682,0
8212,5747,0
8212,11466,0
8212,10490,0
8212,5434,0
8212,8491,0
8212,5166,0
8212,1743,0
8212,5444,0
8212,3302,0
8212,8727,0
8212,9862,0
8212,2014,0
8212,972,0
8212,9510,0
8212,5339,0
8212,2304,0
8212,863,0
8212,3370,0
8212,10086,0
8212,11065,0
2022,12207,1
2022,4258,1
2022,1567,1
2022,3418,1
2022,10117,1
2022,2130,1
2022,132,1
2022,6257,1
2022,5116,1
2022,6088,1
2022,2722,1
2022,4312,1
2022,10243,1
2022,11586,1
2022,5936,1
2022,545,1
2022,11556,1
2022,547,1
2022,8568,1
2022,10995,1
2022,6689,1
2022,2184,1
2022,4752,1
2022,8380,1
2022,4005,1
2022,3105,1
2022,2222,1
2022,11492,1
2022,2487,1
2022,4387,1
2022,9126,1
2022,11573,1
2022,10141,1
2022,8109,1
2022,10795,1
2022,1947,1
2022,10905,1
2022,4933,1
2022,5043,1
2022,8966,1
2022,8871,1
2022,10604,1
2022,9035,1
2022,596,1
2022,6967,1
2022,3387,1
2022,7585,1
2022,542,1
2022,4112,1
2022,3529,1
2022,2106,1
2022,9213,1
2022,11542,1
2022,5617,1
2022,3644,1
2022,9470,1
2022,421,1
2022,4990,1
2022,4411,1
2022,5997,1
2022,3649,1
2022,8665,1
2022,1627,1
2022,3326,1
2022,8590,1
2022,5907,1
2022,11508,1
2022,8316,1
2022,9144,1
2022,110,1
2022,222,1
2022,9875,1
2022,9968,1
2022,7246,1
2022,11742,1
2022,9690,1
2022,6650,0
2022,9565,0
2022,5115,0
2022,11598,0
2022,3475,0
2022,5258,0
2022,3490,0
2022,8887,0
2022,2071,0
2022,9625,0
2022,7938,0
2022,8779,0
2022,1808,0
2022,8666,0
2022,10316,0
2022,998,0
2022,7082,0
2022,11863,0
2022,3081,0
2022,7236,0
2022,7863,0
2022,3304,0
2022,11902,0
2022,9508,0
2022,711,0
2022,616,0
2022,9419,0
2022,3459,0
2022,1713,0
2022,6143,0
2022,10009,0
2022,7817,0
2022,9655,0
2022,185,0
2022,7106,0
2022,245,0
2022,11048,0
2022,688,0
2022,6710,0
2022,3173,0
2022,1100,0
2022,6409,0
2022,6836,0
2022,287,0
2022,10592,0
2022,1001,0
2022,8190,0
2022,6733,0
2022,10035,0
2022,224,0
2022,9406,0
2022,5544,0
2022,4478,0
2022,8651,0
2022,4858,0
2022,3730,0
2022,6022,0
2022,1331,0
2022,7384,0
2022,7417,0
2022,874,0
2022,9824,0
2022,10551,0
2022,5267,0
2022,12060,0
2022,6885,0
2022,3158,0
2022,5468,0
2022,5086,0
2022,2103,0
2022,7827,0
2022,1540,0
2022,1425,0
2022,8518,0
2022,5314,0
2022,3106,0
7499,5354,1
7499,8948,1
7499,9073,1
7499,6081,1
7499,1157,1
7499,6006,1
7499,268,1
7499,9463,1
7499,8663,1
7499,5905,0
7499,4677,0
7499,3113,0
7499,11847,0
7499,2990,0
7499,6067,0
7499,2917,0
7499,8605,0
7499,10769,0
5695,11294,1
5695,1034,1
5695,408,1
5695,5902,1
5695,3813,1
5695,6815,1
5695,1938,1
5695,10604,1
5695,855,1
5695,7952,1
5695,2913,1
5695,5181,1
5695,3092,1
5695,11446,1
5695,3863,1
5695,3260,1
5695,9896,1
5695,3707,1
5695,5684,1
5695,2794,1
5695,2297,1
5695,4807,1
5695,6759,1
5695,3822,1
5695,6177,1
5695,10254,1
5695,3354,1
5695,1575,1
5695,5755,1
5695,5281,1
5695,1230,1
5695,10465,1
5695,5961,1
5695,7154,1
5695,6431,1
5695,7082,1
5695,3215,1
5695,8160,1
5695,556,1
5695,2915,1
5695,5822,1
5695,6220,1
5695,8172,1
5695,11753,1
5695,9825,1
5695,9253,1
5695,3175,1
5695,3780,1
5695,9115,1
5695,7914,1
5695,5317,1
5695,7535,1
5695,8135,1
5695,10153,1
5695,3561,1
5695,599,1
5695,6572,1
5695,11818,1
5695,9692,1
5695,3436,1
5695,9751,1
5695,2074,1
5695,6565,1
5695,5779,1
5695,9082,1
5695,8423,1
5695,6100,1
5695,8316,1
5695,564,1
5695,7648,1
