TF,Target,Label
7863,9591,1
7863,11623,1
7863,1661,1
7863,4188,1
7863,11459,1
7863,12138,1
7863,3900,1
7863,2407,1
7863,9388,1
7863,7106,1
7863,5821,1
7863,6796,1
7863,9803,1
7863,5970,1
7863,10364,1
7863,8562,1
7863,7596,1
7863,4098,1
7863,1749,1
7863,10940,1
7863,9256,1
7863,4680,1
7863,1868,1
7863,507,1
7863,7780,1
7863,7251,1
7863,432,1
7863,8532,1
7863,2956,1
7863,6752,1
7863,9108,1
7863,9598,1
7863,2386,1
7863,5768,1
7863,11497,1
7863,7429,1
7863,11282,1
7863,9115,1
7863,6048,1
7863,564,1
7863,10243,1
7863,6020,1
7863,533,1
7863,4094,1
7863,8492,1
7863,3735,1
7863,5996,1
7863,11482,1
7863,11833,1
7863,3325,1
7863,6443,1
7863,11735,1
7863,2086,1
7863,11725,1
7863,10449,1
7863,8494,1
7863,9416,1
7863,10637,1
7863,11130,1
7863,9855,1
7863,2609,1
7863,6293,1
7863,2018,1
7863,5803,1
7863,1626,1
7863,10423,1
7863,11257,1
7863,71,1
7863,3959,1
7863,2199,1
7863,6863,1
7863,10431,1
7863,2025,1
7863,2867,1
7863,3393,1
7863,11615,1
7863,5622,1
7863,3843,1
7863,7752,1
7863,4737,1
7863,3071,1
7863,5376,1
7863,9937,1
7863,4358,1
7863,8764,1
7863,4561,1
7863,870,1
7863,2472,1
7863,739,1
7863,5681,1
7863,1991,1
7863,5366,1
7863,9582,1
7863,4762,1
7863,6255,1
7863,8187,1
7863,5163,1
7863,2144,1
7863,6094,1
7863,8598,1
7863,2990,1
7863,3558,1
7863,9790,1
7863,10901,1
7863,403,1
7863,7912,1
7863,8057,1
7863,6709,1
7863,2895,1
7863,6561,1
7863,10884,1
7863,6947,1
7863,6460,1
7863,2810,1
7863,762,1
7863,9532,1
7863,4322,1
7863,10495,1
7863,11016,1
7863,2256,1
7863,5392,1
7863,10686,1
7863,7688,1
7863,11839,1
7863,1299,1
7863,11485,1
7863,5780,1
7863,10490,1
7863,9551,1
7863,9630,1
7863,10106,1
7863,9097,1
7863,5338,1
7863,11617,1
7863,11619,1
7863,6238,1
7863,5309,1
7863,8692,1
7863,1538,1
7863,2171,1
7863,2374,1
7863,2239,1
7863,7153,1
7863,8277,1
7863,6021,1
7863,9454,1
7863,3641,1
7863,5760,1
7863,223,1
7863,6359,1
7863,11509,1
7863,11990,1
7863,8360,1
7863,473,1
7863,5878,1
7863,4382,1
7863,9459,1
7863,11045,1
7863,7954,1
7863,5170,1
7863,5069,1
7863,5995,1
7863,7132,1
7863,10068,1
7863,6483,1
7863,8862,1
7863,11335,1
7863,5008,1
7863,1310,1
7863,5660,1
7863,4497,1
7863,11371,1
7863,4625,1
