TF,Target,Label
3887,8421,1
3887,2362,1
3887,2794,1
3887,5623,1
3887,1019,1
3887,7226,1
3887,9341,1
3887,7107,1
3887,9680,1
3887,10207,1
3887,79,1
3887,10190,1
3887,1643,1
3887,10734,1
3887,10168,1
3887,3647,1
3887,2990,1
3887,8330,1
3887,3428,1
3887,9947,1
3887,4203,1
3887,7909,1
3887,5207,1
3887,8717,1
3887,8898,1
3887,8866,1
3887,9287,1
3887,9258,1
3887,10305,1
3887,8118,1
3887,399,1
3887,5892,1
3887,7705,1
3887,4322,1
3887,6068,1
3887,7213,1
3887,4609,1
3887,2059,1
3887,8445,1
3887,318,1
3887,5425,1
3887,7265,1
3887,9263,1
3887,3804,1
3887,2117,1
3887,6603,1
3887,738,1
3887,10161,1
3887,4894,1
3887,11200,1
3887,3978,1
3887,5034,1
3887,10472,1
3887,8711,1
3887,937,1
3887,7133,1
3887,589,1
3887,7042,1
3887,9382,1
3887,2402,1
3887,1,1
3887,8438,1
3887,4046,1
3887,8558,1
3887,4739,1
3887,10281,1
3887,10885,1
3887,6124,1
3887,420,1
3887,10087,1
3887,5406,1
3887,7438,1
3887,940,1
3887,4989,1
3887,7351,1
3887,9011,1
3887,3506,1
3887,3521,1
3887,8591,1
3887,3510,1
3887,7611,1
3887,5179,1
3887,3462,1
3887,4319,1
3887,6102,1
3887,3605,1
3887,1074,1
3887,3482,1
3887,9620,1
3887,3163,1
3887,7686,1
3887,906,1
3887,10261,1
3887,1271,1
3887,780,1
3887,4591,1
3887,1361,1
3887,9098,1
3887,1251,1
3887,11075,1
3887,3251,1
3887,6996,1
3887,9179,1
3887,3344,1
3887,9388,1
3887,2100,1
3887,11658,1
3887,8579,1
3887,6407,1
3887,147,1
3887,11999,1
3887,1357,1
3887,1970,1
3887,5506,1
3887,9218,1
3887,3919,1
3887,9175,1
3887,4682,1
3887,10787,1
3887,6306,1
3887,5117,1
3887,5762,1
3887,4446,1
3887,9594,1
3887,1244,1
3887,4713,1
3887,1353,1
3887,126,1
3887,8875,1
3887,6150,1
3887,3035,1
3887,1451,1
3887,8468,1
3887,4415,1
3887,11928,1
3887,3944,1
3887,3019,1
3887,3715,1
3887,8582,1
3887,5680,1
3887,4649,1
3887,8413,1
3887,4581,1
3887,4997,1
3887,11248,1
3887,4856,1
3887,3213,1
3887,10372,1
3887,832,1
3887,10669,1
3887,11597,1
3887,21,1
3887,9567,1
3887,10191,1
3887,12202,1
3887,9938,1
3887,5800,1
3887,11985,1
3887,9967,1
3887,8190,1
3887,10469,1
3887,3517,1
3887,3070,1
3887,4896,1
3887,8037,1
3887,1749,1
3887,8068,1
3887,957,1
3887,4738,1
3887,3610,1
3887,6462,1
3887,9801,1
3887,704,1
3887,6087,1
3887,944,1
3887,12074,1
3887,4845,1
3887,1013,1
3887,2495,1
3887,2069,1
3887,10737,1
3887,10119,1
3887,2250,1
3887,6370,1
3887,5471,1
3887,2683,1
3887,2753,1
3887,1720,1
3887,5303,1
3887,5337,1
3887,5773,1
3887,10276,1
3887,10782,1
3887,5043,1
3887,4230,1
3887,10105,1
3887,5148,1
3887,2923,1
3887,4234,1
3887,10035,1
3887,1171,1
3887,10395,1
3887,579,1
3887,261,1
3887,4393,1
3887,5075,1
3887,3789,1
3887,1911,1
3887,7523,1
3887,4935,1
3887,861,1
3887,6750,1
3887,9126,1
3887,2500,1
3887,10224,1
3887,7422,1
3887,8885,1
3887,7081,1
3887,4504,1
3887,5873,1
3887,5996,1
3887,5485,1
3887,11322,1
3887,3438,1
3887,9699,1
3887,1969,1
3887,12069,1
3887,4267,1
3887,2179,1
3887,7299,1
3887,6111,1
3887,6663,1
3887,1974,1
3887,10650,1
3887,10363,1
3887,10693,1
3887,1478,1
3887,6413,1
3887,2845,1
3887,345,1
3887,8287,1
3887,9607,1
3887,7708,1
3887,6613,1
3887,5174,1
3887,3868,1
3887,4656,1
3887,1042,1
3887,3850,1
3887,7412,1
3887,6476,1
3887,4792,1
3887,5163,1
3887,6921,1
3887,2579,1
3887,7612,1
3887,9381,1
3887,453,1
3887,4143,1
3887,9233,1
3887,2224,1
3887,2339,1
3887,2894,1
3887,9668,1
3887,3464,1
3887,134,1
3887,2411,1
3887,4147,1
3887,6208,1
3887,7935,1
3887,7316,1
3887,6772,1
3887,3833,1
3887,5365,1
3887,3650,1
3887,5585,1
3887,7508,1
3887,10264,1
3887,3073,1
3887,2049,1
3887,6428,1
3887,5228,1
3887,3542,1
3887,4032,1
3887,7070,1
3887,5160,1
3887,6423,1
3887,4211,1
3887,2433,1
3887,728,1
3887,266,1
3887,5366,1
3887,1618,1
3887,6894,1
3887,9229,1
3887,11733,1
3887,8134,1
3887,4863,1
3887,2170,1
3887,8476,1
3887,4652,1
3887,5962,1
3887,10038,1
3887,6730,1
3887,9886,1
3887,5269,1
3887,7537,1
3887,1581,1
3887,7285,1
3887,6962,1
3887,8485,1
3887,12029,1
3887,8565,1
3887,5301,1
3887,11837,1
3887,7499,1
3887,666,1
3887,1879,1
3887,7514,1
3887,5363,1
3887,769,1
3887,3095,1
3887,11339,1
3887,5586,1
3887,10003,1
3887,3846,1
3887,955,1
3887,10030,1
3887,9355,1
3887,6606,1
3887,7989,0
3887,8364,0
3887,4261,0
3887,3545,0
3887,1823,0
3887,2632,0
3887,5069,0
3887,3169,0
3887,4026,0
3887,7920,0
3887,1796,0
3887,11639,0
3887,12115,0
3887,1676,0
3887,11242,0
3887,2075,0
3887,2097,0
3887,3156,0
3887,624,0
3887,4829,0
3887,7516,0
3887,9463,0
3887,9260,0
3887,6744,0
3887,5215,0
3887,5643,0
3887,4325,0
3887,5574,0
3887,4864,0
3887,10131,0
3887,2424,0
3887,8504,0
3887,6776,0
3887,6213,0
3887,2718,0
3887,6436,0
3887,6007,0
3887,549,0
3887,7893,0
3887,9691,0
3887,4667,0
3887,3425,0
3887,9821,0
3887,11311,0
3887,11731,0
3887,4837,0
3887,2325,0
3887,7298,0
3887,109,0
3887,7561,0
3887,11247,0
3887,774,0
3887,11483,0
3887,10518,0
3887,7657,0
3887,12171,0
3887,2214,0
3887,6377,0
3887,9257,0
3887,9183,0
3887,2564,0
3887,5747,0
3887,7138,0
3887,4484,0
3887,8280,0
3887,3449,0
3887,2697,0
3887,2070,0
3887,2463,0
3887,8306,0
3887,4260,0
3887,7550,0
3887,1441,0
3887,11644,0
3887,1812,0
3887,8772,0
3887,4433,0
3887,1265,0
3887,10694,0
3887,5988,0
3887,11506,0
3887,3665,0
3887,1546,0
3887,1758,0
3887,7544,0
3887,8460,0
3887,867,0
3887,3998,0
3887,8917,0
3887,1569,0
3887,7904,0
3887,8186,0
3887,11442,0
3887,11438,0
3887,1073,0
3887,9838,0
3887,845,0
3887,1418,0
3887,1541,0
3887,1656,0
3887,4465,0
3887,8646,0
3887,10849,0
3887,8405,0
3887,8495,0
3887,3040,0
3887,8937,0
3887,5461,0
3887,8088,0
3887,1245,0
3887,12059,0
3887,496,0
3887,6339,0
3887,7588,0
3887,8797,0
3887,3956,0
3887,10520,0
3887,3349,0
3887,10985,0
3887,480,0
3887,3072,0
3887,6611,0
3887,5572,0
3887,130,0
3887,10970,0
3887,1380,0
3887,8660,0
3887,11980,0
3887,605,0
3887,8424,0
3887,3863,0
3887,1479,0
3887,8089,0
3887,856,0
3887,5845,0
3887,9932,0
3887,1337,0
3887,10749,0
3887,11626,0
3887,7589,0
3887,5985,0
3887,5460,0
3887,8098,0
3887,8497,0
3887,1946,0
3887,2192,0
3887,2276,0
3887,7889,0
3887,12068,0
3887,5336,0
3887,3219,0
3887,2566,0
3887,2234,0
3887,6049,0
3887,3308,0
3887,5346,0
3887,2929,0
3887,9695,0
3887,5475,0
3887,7439,0
3887,1331,0
3887,7371,0
3887,3995,0
3887,10247,0
3887,1447,0
3887,11179,0
3887,3111,0
3887,5006,0
3887,2785,0
3887,2936,0
3887,6431,0
3887,2619,0
3887,1346,0
3887,3472,0
3887,4045,0
3887,10374,0
3887,8576,0
3887,763,0
3887,1266,0
3887,2885,0
3887,7725,0
3887,8753,0
3887,7574,0
3887,8439,0
3887,4647,0
3887,157,0
3887,2367,0
3887,514,0
3887,10303,0
3887,5970,0
3887,9252,0
3887,7399,0
3887,6943,0
3887,4821,0
3887,7414,0
3887,1788,0
3887,8403,0
3887,6599,0
3887,11118,0
3887,10905,0
3887,11038,0
3887,3469,0
3887,563,0
3887,9237,0
3887,12213,0
3887,10348,0
3887,7012,0
3887,8239,0
3887,3447,0
3887,1650,0
3887,11870,0
3887,5987,0
3887,177,0
3887,3883,0
3887,10870,0
3887,4225,0
3887,11816,0
3887,6709,0
3887,2779,0
3887,10976,0
3887,11385,0
3887,258,0
3887,2834,0
3887,10721,0
3887,11659,0
3887,8335,0
3887,11770,0
3887,8254,0
3887,2116,0
3887,8447,0
3887,1686,0
3887,1606,0
3887,5499,0
3887,11895,0
3887,8996,0
3887,529,0
3887,8050,0
3887,10101,0
3887,2273,0
3887,5347,0
3887,4805,0
3887,7652,0
3887,1254,0
3887,395,0
3887,8733,0
3887,10895,0
3887,1135,0
3887,4281,0
3887,10990,0
3887,4099,0
3887,1942,0
3887,10115,0
3887,11606,0
3887,10047,0
3887,7646,0
3887,2508,0
3887,6578,0
3887,2881,0
3887,7128,0
3887,6845,0
3887,11575,0
