Gene1,Gene2,label
143,176,0
187,113,0
53,51,1
174,83,0
47,155,0
154,18,0
168,13,0
27,7,1
143,116,1
88,165,0
198,185,1
47,91,1
178,94,1
1,116,0
198,90,1
0,57,1
60,177,1
8,129,0
0,20,0
1,85,0
22,0,1
199,127,1
154,127,0
0,142,1
136,120,0
9,94,0
199,151,1
34,71,1
116,30,0
74,114,1
5,207,0
87,40,0
81,201,0
157,51,1
200,48,0
97,159,0
169,132,0
183,4,0
207,50,0
53,57,1
100,52,0
17,124,0
0,187,1
122,197,1
58,152,0
58,73,0
198,145,1
195,120,0
122,92,1
47,105,1
47,152,1
35,75,0
34,183,0
64,54,1
132,161,1
34,126,1
5,18,0
123,98,1
8,187,0
14,5,1
87,119,0
122,119,1
140,0,1
196,5,0
53,0,1
122,177,0
140,36,1
45,167,0
27,125,1
164,159,1
130,92,1
144,63,0
207,32,0
27,161,0
141,86,0
121,57,0
141,56,0
143,25,0
122,160,1
33,134,0
95,177,0
51,80,0
143,9,1
0,83,0
161,40,0
100,173,0
57,120,0
64,35,1
158,70,0
60,79,0
152,202,0
141,57,1
0,177,0
164,33,1
148,114,0
47,202,0
178,74,1
170,205,0
124,75,0
53,173,0
22,71,1
47,130,0
2,39,1
143,71,0
122,189,1
111,52,0
74,65,1
121,115,0
122,34,1
123,112,1
70,97,0
107,57,0
60,206,1
0,6,1
117,115,0
21,116,0
143,86,0
27,33,0
8,79,0
199,115,1
180,93,0
0,184,1
178,28,1
22,195,1
199,25,1
76,162,0
22,55,1
123,53,1
123,28,1
121,42,0
22,25,1
195,31,0
92,115,0
91,185,0
149,179,0
27,45,1
49,202,0
149,70,0
167,197,0
140,77,1
27,128,0
187,157,0
187,97,0
116,173,0
0,17,1
14,33,1
55,107,0
198,25,1
46,191,0
143,122,1
194,180,0
53,127,1
198,14,1
176,20,0
22,13,1
199,29,1
109,176,0
141,135,1
122,50,1
108,197,0
74,77,1
48,206,0
61,17,0
123,49,1
140,165,0
121,163,1
172,175,0
157,107,0
123,77,1
122,9,1
51,20,0
74,82,0
159,36,0
133,52,0
178,63,1
80,45,0
205,145,0
64,110,1
2,144,1
140,11,1
153,9,0
47,132,1
35,36,0
2,85,1
7,67,0
178,194,1
178,5,1
45,57,0
197,129,0
53,131,1
181,24,0
123,17,1
132,147,0
58,61,0
138,129,0
95,77,0
74,200,1
60,113,1
60,18,1
84,42,0
141,58,0
153,56,0
107,142,0
121,182,0
78,54,0
122,81,1
62,107,0
0,172,1
110,109,0
2,14,1
60,140,1
130,199,1
141,173,0
5,176,0
53,40,1
141,9,1
28,70,1
28,172,1
159,67,0
143,134,1
164,78,1
193,204,0
178,181,1
116,201,0
52,129,0
125,39,0
130,134,0
141,150,1
28,61,1
157,191,1
54,119,0
53,26,1
178,29,1
198,42,1
74,105,1
121,174,1
27,46,0
121,127,0
122,74,1
14,156,1
171,158,1
104,169,0
161,109,0
82,205,0
201,154,0
88,117,0
34,182,0
143,38,0
117,57,0
180,125,0
27,133,1
74,152,1
19,138,0
81,144,0
169,170,0
55,51,0
76,85,0
114,102,0
50,110,0
149,154,0
141,208,0
117,186,0
68,207,0
91,138,0
143,4,1
47,178,1
143,54,1
178,140,1
141,207,0
112,30,0
178,196,0
199,33,1
172,9,0
49,176,0
127,194,0
100,195,0
107,88,0
178,139,1
206,107,0
143,155,0
53,38,1
52,38,0
47,96,0
64,72,0
64,172,1
105,135,0
74,153,1
0,30,1
47,114,1
0,65,1
143,185,0
60,128,1
11,155,0
177,97,0
198,2,1
140,97,1
74,14,1
157,52,1
28,58,0
33,162,0
104,29,0
201,1,0
34,70,0
143,8,1
157,33,1
60,157,1
14,146,1
53,14,1
123,118,0
74,116,1
22,129,1
144,88,0
147,142,0
51,173,0
140,166,1
143,94,1
123,193,1
198,160,1
154,121,0
143,184,1
28,96,0
141,112,0
33,4,0
197,66,0
152,149,0
17,35,0
198,33,1
161,186,0
140,129,1
154,66,0
47,148,0
5,156,1
132,71,1
2,161,1
27,0,1
189,29,0
154,159,0
140,193,0
74,182,1
176,125,0
130,143,1
171,110,1
87,118,0
14,194,1
53,5,1
134,83,0
63,31,0
97,113,0
127,16,0
198,34,1
157,61,0
141,200,1
132,173,0
74,149,1
198,73,1
120,142,0
60,182,1
119,43,0
74,36,1
95,161,0
53,155,1
122,201,1
199,1,1
17,101,0
70,168,0
113,126,0
58,49,0
140,142,1
151,43,0
148,92,0
35,80,0
28,205,1
157,181,0
177,40,0
139,137,0
122,165,0
47,45,0
121,5,1
53,146,1
171,164,1
117,33,1
2,180,1
14,63,1
50,1,0
123,96,1
28,196,0
14,8,1
27,24,1
39,158,0
140,132,1
166,51,0
43,44,0
134,194,0
53,153,1
117,142,0
198,199,1
53,137,0
178,55,1
141,192,0
2,97,1
30,162,0
14,58,0
0,136,1
21,82,0
23,97,0
14,16,0
156,96,0
35,194,0
199,146,1
27,66,1
186,33,0
14,113,1
28,97,1
11,186,0
122,131,0
53,167,1
117,11,0
140,72,0
175,113,0
141,39,0
130,198,1
143,108,1
123,18,1
60,47,1
129,139,0
198,0,1
14,57,0
28,11,1
17,39,0
34,88,1
147,117,0
123,165,0
34,58,1
164,132,1
199,7,1
199,76,1
198,173,0
164,193,1
208,40,0
27,148,0
121,64,1
93,39,0
110,59,0
60,26,1
157,108,0
152,30,0
198,121,1
147,92,0
143,152,1
117,41,0
64,74,1
157,76,0
157,101,0
88,158,0
68,170,0
198,32,1
37,87,0
60,107,1
28,132,0
22,139,1
132,118,1
164,22,1
0,124,1
98,13,0
22,158,1
34,188,1
169,177,0
101,143,0
60,51,1
2,203,1
178,165,1
14,69,1
74,41,0
178,148,1
178,115,1
132,55,0
15,57,0
74,24,1
169,86,0
50,156,0
34,197,0
40,39,0
90,161,0
61,39,0
97,38,0
68,90,0
86,52,0
56,93,0
51,97,0
130,176,1
198,170,1
53,20,0
22,155,1
22,198,1
60,142,1
129,179,0
64,196,0
180,95,0
53,76,1
202,13,0
140,144,1
123,59,1
121,146,0
197,91,0
39,135,0
122,148,1
0,92,1
178,17,1
140,58,1
205,77,0
5,119,0
199,116,1
131,16,0
0,193,1
122,93,1
64,148,1
157,91,1
139,12,0
125,88,0
28,9,1
53,145,0
174,25,0
6,77,0
2,1,1
0,35,1
178,186,1
27,12,0
65,21,0
157,200,0
23,191,0
178,26,1
140,4,1
60,163,1
178,121,1
30,48,0
66,179,0
133,84,0
77,179,0
157,75,0
187,161,0
14,106,0
208,104,0
171,205,1
178,21,1
164,18,1
141,105,1
130,53,1
123,139,1
174,92,0
74,63,1
59,26,0
168,156,0
60,145,0
2,147,1
143,82,1
80,11,0
141,128,0
152,70,0
79,33,0
178,30,1
120,12,0
163,160,0
74,6,1
123,88,1
35,6,0
170,168,0
198,152,1
100,93,0
130,187,1
178,54,1
170,50,0
171,16,0
46,180,0
51,69,0
166,189,0
199,182,1
55,145,0
71,173,0
22,44,1
60,29,1
22,65,1
64,160,1
132,127,0
123,140,1
123,86,1
53,150,1
141,119,1
199,57,1
140,92,0
53,128,0
0,5,1
199,126,1
178,128,0
64,33,1
197,135,0
2,27,1
53,130,1
74,87,1
47,58,1
122,23,1
178,72,0
22,166,1
34,68,0
178,206,1
143,157,0
27,182,1
175,181,0
74,30,1
89,109,0
53,45,1
132,143,1
191,165,0
143,161,0
64,23,1
47,59,1
150,80,0
13,61,0
99,126,1
27,141,1
58,11,0
143,188,1
63,21,0
122,72,0
178,185,0
143,78,0
60,111,1
121,105,0
0,168,1
36,150,0
184,194,0
11,166,0
54,167,0
182,73,0
164,203,1
60,108,1
164,196,1
121,207,0
160,10,0
143,16,0
140,5,1
199,157,1
86,114,0
198,95,1
132,3,0
77,45,0
47,0,1
53,183,1
171,186,1
138,151,0
19,93,0
14,153,0
115,155,0
111,187,0
130,11,1
141,101,0
47,64,0
14,172,1
123,70,1
130,166,1
188,95,0
178,36,1
126,89,0
122,191,1
169,82,0
28,199,1
14,90,1
171,119,1
34,74,1
102,105,0
141,98,0
28,104,1
121,84,1
141,177,0
138,77,0
13,82,0
53,22,1
122,31,1
133,67,0
201,165,0
143,167,1
184,162,0
15,179,0
70,82,0
122,75,0
64,38,1
116,207,0
27,39,0
139,144,0
14,60,1
198,178,1
22,12,0
44,163,0
143,137,0
198,200,1
22,24,1
123,55,1
14,73,0
171,96,1
199,143,1
11,118,0
74,86,1
140,189,1
123,129,1
113,5,0
39,8,0
170,101,0
27,91,1
130,86,0
22,157,1
99,142,1
143,87,1
60,41,1
168,75,0
98,204,0
0,3,0
194,167,0
182,129,0
22,183,1
204,18,0
14,35,1
199,122,1
123,87,1
12,18,0
178,91,1
144,158,0
121,100,0
178,119,1
43,174,0
70,75,0
0,199,1
132,82,1
47,112,0
198,77,1
27,97,1
47,125,1
2,205,1
198,181,1
99,145,1
14,102,1
183,120,0
99,128,1
130,189,0
53,79,1
121,89,0
199,27,1
100,111,0
0,25,1
143,2,1
140,75,0
185,69,0
0,208,1
143,195,1
61,6,0
144,172,0
62,203,0
60,195,1
47,107,1
5,157,1
64,133,1
117,199,1
117,141,0
30,1,0
198,69,1
69,11,0
199,23,1
28,113,1
109,24,0
74,171,1
119,126,0
74,208,1
82,166,0
27,6,1
11,104,0
53,201,1
206,182,0
2,54,1
53,110,1
14,61,1
124,78,0
171,55,1
9,23,0
53,69,1
14,87,1
99,20,0
54,168,0
9,70,0
164,122,1
86,144,0
63,11,1
164,121,1
201,120,0
19,112,0
164,199,1
17,201,0
172,132,0
164,67,1
123,67,0
74,98,0
121,85,0
65,92,0
117,97,1
64,179,0
186,103,0
22,41,1
107,40,0
122,41,1
73,97,0
123,56,1
134,147,0
164,133,1
26,90,0
22,121,1
178,159,1
64,195,1
113,193,0
74,58,1
59,108,0
28,45,1
70,195,0
45,93,0
164,55,1
22,43,1
66,23,0
22,119,1
2,135,1
30,55,0
78,129,0
34,200,1
100,91,0
164,169,1
47,42,1
153,163,0
198,92,1
199,110,1
22,45,1
178,46,1
164,13,1
140,178,1
198,72,0
78,16,0
53,158,1
171,38,1
27,204,1
103,69,0
2,134,1
2,116,1
74,128,1
44,36,0
122,2,1
28,203,1
198,206,1
171,68,1
122,5,1
64,106,0
116,42,0
149,87,0
123,37,1
34,202,0
111,206,0
170,183,0
7,205,0
201,37,0
198,134,1
22,31,0
99,166,0
123,183,1
60,72,1
93,156,0
141,49,0
29,153,0
199,37,1
17,62,0
14,37,1
43,93,0
121,66,1
14,27,1
65,58,0
14,171,1
35,87,0
124,49,0
52,16,0
66,190,0
168,153,0
22,63,1
157,25,0
47,123,1
53,157,1
53,47,1
14,168,1
22,130,1
140,131,0
22,23,1
1,96,0
157,173,1
123,120,1
194,129,0
14,174,0
88,120,0
18,56,0
60,13,1
176,115,0
141,127,1
117,59,1
178,14,1
27,38,1
37,33,0
59,157,0
47,100,1
199,68,1
45,126,0
140,207,0
4,18,0
27,146,0
74,134,1
111,202,0
105,21,0
34,142,1
198,64,1
113,50,0
22,1,1
199,134,1
116,157,0
171,59,1
121,17,0
34,13,0
182,39,0
143,100,1
55,29,0
186,80,0
47,23,0
0,170,1
47,207,1
186,95,0
0,131,0
200,127,0
123,166,1
34,158,1
164,113,1
121,59,1
140,200,1
13,183,0
203,94,0
123,65,1
27,36,1
47,180,0
91,147,0
6,75,0
130,91,1
22,154,1
36,149,0
121,131,1
74,44,1
74,31,0
164,102,1
198,19,1
99,162,1
132,153,0
62,72,0
121,132,1
122,52,1
22,102,1
64,146,1
11,107,0
85,129,0
14,54,1
53,84,1
64,16,0
164,34,1
130,110,1
167,149,0
24,84,0
143,148,1
28,155,0
130,33,0
126,185,0
123,74,1
47,181,0
130,42,1
140,52,0
141,172,1
10,149,0
6,89,0
14,81,1
64,36,1
47,33,1
171,190,1
200,65,0
177,101,0
47,74,1
143,183,0
123,113,1
84,187,0
90,29,0
141,36,1
121,55,0
61,71,0
93,12,0
199,190,1
114,188,0
140,53,1
156,105,0
97,29,0
169,36,0
28,131,1
81,4,0
123,130,1
123,143,1
22,138,1
132,122,1
99,137,0
60,99,1
109,76,0
0,135,1
171,94,1
198,142,1
178,10,1
157,83,1
94,158,0
27,150,0
103,180,0
121,77,0
157,131,1
121,202,0
81,137,0
64,17,1
192,116,0
60,80,1
109,112,0
199,64,1
70,207,0
27,178,1
178,117,1
143,10,0
143,139,1
198,148,1
97,152,0
133,61,0
198,6,1
121,114,1
2,105,1
63,69,0
60,54,1
112,167,0
199,89,1
173,91,0
123,168,1
60,159,1
164,160,1
203,194,0
24,50,0
50,55,0
164,205,1
58,51,0
192,73,0
141,152,1
53,134,1
24,73,0
142,180,0
199,94,1
140,127,0
130,76,0
27,20,0
10,141,0
132,38,0
79,32,0
182,37,0
27,43,1
121,161,1
178,124,1
93,115,0
103,30,0
28,176,1
16,70,0
130,30,1
7,184,0
53,156,1
77,203,0
159,66,0
171,165,1
64,150,0
42,136,0
85,144,0
82,55,0
60,119,1
22,106,0
64,201,0
143,204,0
157,38,1
45,20,0
91,188,0
77,166,0
164,153,1
154,95,0
132,30,0
44,76,0
57,32,0
198,76,1
14,203,1
92,197,0
0,19,1
97,19,0
74,135,0
178,195,1
87,160,0
140,148,1
151,98,0
49,189,0
122,32,1
8,19,0
60,17,1
47,28,1
144,166,0
121,23,1
199,179,0
172,117,0
23,13,0
47,117,0
146,91,0
207,191,0
0,38,0
64,194,1
58,159,0
121,203,0
34,138,1
158,195,0
146,102,0
164,30,1
22,75,0
64,145,1
2,166,1
150,118,0
2,40,1
45,66,0
206,124,0
14,204,1
105,163,0
53,202,0
198,35,1
178,146,1
132,69,1
140,38,0
123,93,1
8,94,0
22,21,1
28,94,0
30,26,0
108,207,0
159,79,0
88,32,0
97,16,0
150,148,0
125,124,0
104,79,0
113,112,0
2,53,1
103,104,0
122,120,1
64,92,1
123,9,1
130,165,0
34,94,1
140,87,1
50,96,0
60,15,1
26,70,0
74,168,1
163,179,0
53,31,1
21,106,0
60,168,1
102,3,0
28,55,1
28,35,1
74,133,1
178,99,1
74,202,0
34,80,1
116,101,0
31,71,0
199,193,1
123,127,1
199,111,1
110,146,0
98,97,0
108,151,0
121,147,1
2,52,1
60,158,1
53,8,1
130,108,1
140,187,1
0,88,1
191,156,0
117,192,0
141,110,1
64,12,1
39,108,0
27,96,0
6,194,0
14,201,1
141,197,1
64,143,1
59,61,0
199,73,1
0,153,0
187,128,0
130,208,1
95,87,0
43,150,0
130,150,0
82,114,0
81,133,0
195,88,0
63,49,0
123,184,1
64,7,1
24,87,0
60,120,1
122,164,1
2,99,1
14,99,0
22,86,1
28,83,0
178,151,1
54,135,0
99,141,0
122,3,1
144,45,0
33,100,0
97,166,0
198,17,1
60,25,1
130,127,1
201,48,0
49,177,0
129,177,0
47,141,0
53,62,1
36,117,0
64,192,0
130,78,0
157,156,0
22,46,0
53,50,1
140,107,1
6,39,0
122,187,1
171,180,1
171,47,1
133,154,0
60,77,1
199,124,1
63,155,0
2,115,0
135,10,0
121,74,1
0,53,1
2,172,1
107,182,0
171,168,1
0,148,1
64,26,0
117,43,1
123,124,1
157,153,0
198,116,1
123,102,1
90,72,0
0,122,1
22,26,1
64,168,1
198,175,1
194,90,0
195,73,0
9,183,0
88,13,0
121,9,1
47,139,1
2,162,1
164,171,1
60,132,1
64,2,1
0,70,1
121,116,1
22,144,1
122,149,1
198,153,1
82,41,0
68,33,0
140,13,1
2,204,1
121,45,0
123,174,1
180,135,0
64,141,1
22,194,1
56,102,0
122,129,1
122,203,1
61,103,0
199,62,1
2,168,1
14,117,1
141,130,1
2,21,1
26,119,0
34,117,0
201,11,0
34,177,0
121,78,0
140,24,0
99,3,0
199,70,1
121,12,1
28,188,0
178,86,1
64,204,1
100,38,0
105,66,0
186,156,0
155,120,0
27,126,0
201,126,0
163,68,0
53,65,1
1,119,0
121,190,1
62,114,0
90,39,0
160,206,0
74,89,0
22,10,1
134,127,0
34,160,1
8,184,0
28,190,0
60,190,1
64,101,0
198,184,1
60,166,1
43,75,0
141,134,1
63,51,0
130,112,0
22,177,1
47,161,0
64,112,1
28,80,1
130,158,1
156,39,0
122,58,1
146,16,0
140,206,1
169,146,0
14,129,1
53,81,1
27,176,1
171,80,1
130,183,0
199,83,1
14,4,1
206,162,0
28,122,1
122,168,1
140,170,1
87,112,0
121,92,1
118,107,0
124,119,0
65,131,0
199,59,1
44,91,0
130,118,0
143,57,1
143,99,0
58,107,0
200,155,0
141,81,1
123,39,1
