Gene1,Gene2,Score
BMI1,MECOM,1016.0
BMI1,GFI1,672.0
BMI1,EBF1,753.0
BMI1,RUNX2,866.0
BMI1,GATA2,375.0
BMI1,ESR1,459.0
BMI1,ZEB2,371.0
BMI1,HOXA9,337.0
BMI1,HLF,265.0
BMI1,IRF8,349.0
BMI1,NR3C2,242.0
BMI1,IKZF1,198.0
BMI1,ARID3B,446.0
BMI1,EYA1,187.0
BMI1,MEF2C,255.0
BMI1,NFATC2,181.0
BMI1,THRB,138.0
BMI1,IRF5,185.0
BMI1,GFI1B,136.0
BMI1,ETS1,153.0
BMI1,SALL2,141.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,AHR,113.0
BMI1,PBX1,112.0
BMI1,NDN,107.0
BMI1,GTF3C3,104.0
CBFB,NFE2,2138.0
CBFB,WDR5,1641.0
CBFB,PRDM4,1622.0
CBFB,NFXL1,1319.0
CBFB,NFAT5,1118.0
CBFB,DDX20,1368.0
CBFB,MIS18BP1,1481.0
CBFB,EYA2,1293.0
CBFB,REXO4,1500.0
CBFB,MED16,1263.0
CBFB,XRCC6,928.0
CBFB,GTF2H1,1221.0
CBFB,HDAC7,951.0
CBFB,HCFC1,773.0
CBFB,DCP1A,1170.0
CBFB,ZFP143,1213.0
CBFB,FEM1B,1103.0
CBFB,RUVBL2,1197.0
CBFB,XPC,803.0
CBFB,ZDHHC6,1362.0
CBFB,ZBTB20,1021.0
CBFB,ZZZ3,935.0
CBFB,XAB2,1094.0
CBFB,TOX4,1217.0
CBFB,HDGF,949.0
CBFB,GTF2E1,939.0
CBFB,MCM7,1209.0
CBFB,CNOT7,601.0
CBFB,RAD21,630.0
CBFB,MCM4,1102.0
CBFB,SRSF1,850.0
CBFB,DEK,707.0
CBFB,STAT3,955.0
CBFB,CTR9,1045.0
CBFB,SLA2,1062.0
CBFB,TCF12,765.0
CBFB,GFI1,913.0
CBFB,BLZF1,1753.0
CBFB,ELP3,675.0
CBFB,HIST1H1C,722.0
CBFB,ABTB1,867.0
CBFB,SATB1,904.0
CBFB,NFKBIA,555.0
CBFB,TTF1,949.0
CBFB,POLR3F,1050.0
CBFB,SP4,613.0
CBFB,NR4A1,868.0
CBFB,HDAC2,960.0
CBFB,AFF4,588.0
CBFB,ZDHHC13,697.0
CBFB,MXD3,1057.0
CBFB,AHCTF1,573.0
CBFB,PHB2,761.0
CBFB,E2F8,644.0
CBFB,NRF1,606.0
CBFB,FOS,706.0
CBFB,POLR1B,800.0
CBFB,RORC,790.0
CBFB,NFE2L2,772.0
CBFB,GTF2F1,860.0
CBFB,MAPK1,815.0
CBFB,RNF19A,456.0
CBFB,RPA2,694.0
CBFB,GTF3C3,651.0
CBFB,CENPK,771.0
CBFB,MCM6,691.0
CBFB,SMAD2,645.0
CBFB,KLF1,827.0
CBFB,RNF4,666.0
CBFB,MYNN,673.0
CBFB,TOPORS,734.0
CBFB,XRCC3,593.0
