TF,Target
ELF1,PTP4A1
ELF1,TAGLN2
ELF1,EIF4A1
ELF1,SLC50A1
ELF1,RCC1
ELF1,INTS7
ELF1,DNAJC16
ELF1,TM2D3
ELF1,CCND3
ELF1,S100PBP
ELF1,REV3L
ELF1,MAP2K3
ELF1,GGPS1
ELF1,HERPUD1
ELF1,TSR1
ELF1,ALDH3A1
ELF1,RND2
ELF1,G6PC3
ELF1,RAB13
ELF1,NAGLU
ELF1,MLX
ELF1,RPS17
ELF1,CRK
ELF1,NUTF2
ELF1,SRM
ELF1,ARPP19
ELF1,USP1
ELF1,MYCBP
ELF1,SPATA6
ELF1,PTP4A2
ELF1,PIAS3
ELF1,GTPBP4
ELF1,KIF1C
ELF1,FBXO9
ELF1,TUBGCP5
ELF1,ENSA
ELF1,CDC42
ELF1,THRAP3
ELF1,TUBG1
ELF1,B9D1
ELF1,TMEM59
ELF1,SHMT1
ELF1,EFHC1
ELF1,IFT20
ELF1,P3H4
ELF1,CMPK1
ELF1,PINK1
ELF1,TK2
ELF1,WDR76
ELF1,DNAJC7
ELF1,MRPL20
ELF1,THAP11
ELF1,MAP1LC3B
ELF1,ABHD2
ELF1,TAF1A
ELF1,PSMB6
ELF1,C1QBP
ELF1,TMUB2
ELF1,CYB5B
ELF1,FOXJ3
ELF1,SNAP23
ELF1,SH3BGRL3
ELF1,C6orf62
ELF1,ACP6
ELF1,S100A2
ELF1,ZNF593
ELF1,PEX12
ELF1,CPD
ELF1,ZSCAN12
ELF1,IFNGR1
ELF1,S100A13
ELF1,SCP2
ELF1,EIF3I
ELF1,SSR1
ELF1,BRCA1
ELF1,SNIP1
ELF1,PRIM2
ELF1,SDHC
ELF1,CCT6B
ELF1,COMMD4
ELF1,NDUFAF1
ELF1,EBNA1BP2
ELF1,RWDD2A
ELF1,ZNF23
ELF1,WDR61
ELF1,RAD51D
ELF1,PTGS2
ELF1,RER1
ELF1,TEFM
ELF1,DUT
ELF1,RPS15A
ELF1,GOLPH3L
ELF1,HSPB11
ELF1,RPS27L
ELF1,POLDIP2
ELF1,METTL18
ELF1,IBTK
ELF1,DHRS7B
ELF1,AAGAB
ELF1,GABARAPL2
ELF1,RNF11
ELF1,NME7
ELF1,HAX1
ELF1,KCTD3
ELF1,RWDD1
ELF1,MRPS15
ELF1,BLZF1
ELF1,NFAT5
ELF1,NSL1
ELF1,TSNAX
ELF1,RSL24D1
ELF1,MNS1
ELF1,TIMM17A
ELF1,RCN2
ELF1,FMO5
ELF1,SDF2
ELF1,BCKDHB
ELF1,TXNL4B
ELF1,PFDN6
ELF1,RBBP5
ELF1,IL6R
ELF1,TFB2M
ELF1,EMC7
ELF1,WARS2
ELF1,HSBP1
ELF1,NIP7
ELF1,MED20
ELF1,MYO6
ELF1,AK2
ELF1,NBR2
ELF1,PEX10
ELF1,ELOVL2
ELF1,BAG2
ELF1,TMEM14B
ELF1,APH1A
ELF1,BTBD1
ELF1,JTB
ELF1,BLMH
ELF1,IKBKE
ELF1,ARPC5
ELF1,IRX5
ELF1,FYN
ELF1,DCAF6
ELF1,SELL
ELF1,DEGS1
ELF1,SYT17
ELF1,WSCD1
ELF1,ARL4D
ELF1,HMGN3
ELF1,PADI4
ELF1,CFH
ELF1,SOX15
ELF1,GRIK2
ELF1,TSPAN1
ELF1,GLP1R
ELF1,MECR
ELF1,KRT13
ELF1,SPRR3
ELF1,SPRR1A
ELF1,GPR37L1
ELF1,APRT
ELF1,MIR22HG
ELF1,UBTF
ELF1,RPL23A
ELF1,NME4
ELF1,DLG4
ELF1,NBR1
ELF1,PFN1
ELF1,TRADD
ELF1,ZNF276
ELF1,E2F3
ELF1,FBXL8
ELF1,RPS2
ELF1,HEXIM1
ELF1,TP53
ELF1,CYFIP1
ELF1,RAI1
ELF1,TRAF3
ELF1,TRAF4
ELF1,IER3
ELF1,ADAM15
ELF1,YRDC
ELF1,KIAA0100
ELF1,C1orf174
ELF1,RPH3AL
ELF1,GLCE
ELF1,PEF1
ELF1,CENPN
ELF1,NR2F2
ELF1,CD58
ELF1,PFAS
ELF1,CMC2
ELF1,TUFM
ELF1,TUBB
ELF1,KPNB1
ELF1,SNAPC5
ELF1,ELP5
ELF1,HHAT
ELF1,ZNHIT3
ELF1,MIS12
ELF1,ZWILCH
ELF1,UBB
ELF1,PLEKHH3
ELF1,TNFSF13
ELF1,RBBP4
ELF1,EIF5A
ELF1,LONP2
ELF1,UCK2
ELF1,SMG5
ELF1,CDK10
ELF1,MBTPS1
ELF1,GINS3
ELF1,PIGV
ELF1,USP48
ELF1,SFPQ
ELF1,MYLIP
ELF1,RAD51
ELF1,GABPB1
ELF1,TBPL1
ELF1,MCM3
ELF1,ATF6B
ELF1,CT62
ELF1,ATXN2L
ELF1,TNFAIP2
ELF1,PML
ELF1,CNP
ELF1,SLC24A1
ELF1,AKTIP
ELF1,MYO1C
ELF1,ACBD4
ELF1,IREB2
ELF1,RSRP1
ELF1,C1orf109
ELF1,EMC6
ELF1,MPDU1
ELF1,RPL26
ELF1,LSM2
ELF1,UNKL
ELF1,DCAKD
ELF1,GUK1
ELF1,IFI35
ELF1,PEX3
ELF1,MPZL1
ELF1,PIGK
ELF1,AURKAIP1
ELF1,RPLP1
ELF1,SLC16A4
ELF1,HLA-E
ELF1,CCDC170
ELF1,COA7
ELF1,RPL11
ELF1,RAP1GAP
ELF1,APH1B
ELF1,CTH
ELF1,IMP3
ELF1,MEAF6
ELF1,ITGB3BP
ELF1,PSMB8
ELF1,SNRPA1
ELF1,GDE1
ELF1,IDH3A
ELF1,AKAP7
ELF1,TM2D1
ELF1,GEMIN4
ELF1,CDK19
ELF1,LSM12
ELF1,ATP6V0B
ELF1,COX5A
ELF1,WDR3
ELF1,PPP1R8
ELF1,TJP1
ELF1,SRP9
ELF1,BSDC1
ELF1,MRPL24
ELF1,ZNF778
ELF1,WDTC1
ELF1,NLK
ELF1,TRIM16
ELF1,MYO5C
ELF1,GCHFR
ELF1,RPL13
ELF1,DERL2
ELF1,KDM4A
ELF1,DUSP14
ELF1,PSMB4
ELF1,VPS13D
ELF1,PSMA4
ELF1,ASCC3
ELF1,SSTR5
ELF1,LYRM9
ELF1,COG2
ELF1,DBT
ELF1,USP8
ELF1,SCG3
ELF1,RPS8
ELF1,ANGEL2
