TF,Target
ZNF571,SNF8
ZNF571,UAP1
ZNF571,TM9SF2
ZNF571,PSMA3
ZNF571,HOXA6
ZNF571,SNX11
ZNF571,EBNA1BP2
ZNF571,CDR2L
ZNF571,NNT
ZNF571,SLC25A4
ZNF571,TSPAN14
ZNF571,NFKBIA
ZNF571,ATOX1
ZNF571,TEX30
ZNF571,CBX3
ZNF571,TMEM38B
ZNF571,HSPA4L
ZNF571,TOP1
ZNF571,KIAA0100
ZNF571,SAV1
ZNF571,HERC5
ZNF571,ARL1
ZNF571,ERH
ZNF571,B9D1
ZNF571,XPO1
ZNF571,KDM4A
ZNF571,FAM53B
ZNF571,HUS1
ZNF571,MTA2
ZNF571,MED20
ZNF571,MPP5
ZNF571,CRTAP
ZNF571,ADAMTS1
ZNF571,ENO1
ZNF571,SAR1B
ZNF571,ITIH5
ZNF571,SSNA1
ZNF571,ZDHHC7
ZNF571,ABHD14A
ZNF571,MFN1
ZNF571,DDA1
ZNF571,ACOT7
ZNF571,SLC12A2
ZNF571,C11orf68
ZNF571,DRAP1
ZNF571,SLC39A9
ZNF571,OGDHL
ZNF571,R3HDM4
ZNF571,HEATR3
ZNF571,PTP4A2
ZNF571,NETO2
ZNF571,PFKFB3
ZNF571,WASF3
ZNF571,AP2A2
ZNF571,RNF187
ZNF571,GAS2L1
ZNF571,ERI2
ZNF571,ANKHD1
ZNF571,CSTB
ZNF571,HOXA7
ZNF571,DOCK6
ZNF571,ANAPC2
ZNF571,HNRNPA2B1
ZNF571,HMG20A
ZNF571,SLC4A8
ZNF571,MRPL4
ZNF571,RBM12B
ZNF571,STX11
ZNF571,ITGB3BP
ZNF571,DMTN
ZNF571,NT5M
ZNF571,SMG6
ZNF571,LIMS1
ZNF571,SNUPN
ZNF571,BCL2L11
ZNF571,SNAPC5
ZNF571,PNPLA2
ZNF571,CDX2
ZNF571,MCM3
ZNF571,MRPL34
ZNF571,RPL7
ZNF571,HOXD12
ZNF571,IFRD2
