TF,Target
AR,SEC11A
AR,CLDN9
AR,VWA1
AR,SPTBN5
AR,CTPS1
AR,ASGR2
AR,MAP3K6
AR,PIK3R3
AR,KRT16
AR,BCL7C
AR,PBXIP1
AR,LINC01136
AR,TBC1D10B
AR,SNRNP40
AR,STARD3
AR,SSBP3
AR,BRF1
AR,SCMH1
AR,FAH
AR,SLC9A1
AR,NUCKS1
AR,DHX8
AR,FHL3
AR,CTDNEP1
AR,AGRN
AR,SSX2IP
AR,NQO1
AR,AKTIP
AR,PGM1
AR,CD5L
AR,MFAP2
AR,MFGE8
AR,ATP13A2
AR,USP1
AR,CPTP
AR,PALMD
AR,GABRD
AR,MAP7D1
AR,PLOD1
AR,UCK2
AR,EFNB3
AR,TSPAN3
AR,KRT17
AR,RASGRP1
AR,CD2
AR,CRABP1
AR,S100A14
AR,RORC
AR,MPP3
AR,CHRM5
AR,CDCA4
AR,ARRB2
AR,CLK3
AR,CDC14A
AR,NFATC2IP
AR,RPRD2
AR,ARID1A
AR,ASAP3
AR,BCL9
AR,SMCP
AR,TBX19
AR,SLC6A9
AR,MMP15
AR,PYY
AR,SLC47A1
AR,PKMYT1
AR,SYT2
AR,ALDH3A2
AR,RASGRF1
AR,FURIN
AR,HECTD3
AR,BCKDK
AR,ASH1L
AR,MTA1
AR,PEMT
AR,SF3B4
AR,MLLT11
AR,HIVEP3
AR,CEP85
AR,ATP1A2
AR,XAF1
AR,ELP5
AR,LOXL1
AR,PKM
AR,GJB4
AR,TAGLN2
AR,SMPDL3B
AR,KAT8
AR,KIF22
AR,ADAM15
AR,METRN
AR,ANPEP
AR,HSPB7
AR,CA14
AR,MARCKSL1
AR,LPAR3
AR,HDGF
AR,DHRS3
AR,NES
AR,NPTN
AR,TNK1
AR,SH3GL3
AR,AHDC1
AR,ANP32E
AR,NFAT5
AR,PNMT
AR,DBNDD1
AR,SPG7
AR,FLOT2
AR,MYBPH
AR,MT1E
AR,TNNI1
AR,GADD45A
AR,SENP3
AR,PRKAB2
AR,GSE1
AR,ALOX15B
AR,PHLDA3
AR,DLG4
AR,ZBTB17
AR,GGA2
AR,S100PBP
AR,STRA6
AR,EFCAB14
AR,CCNL2
AR,DNAJA4
AR,CTF1
AR,CDC42
AR,RAB13
AR,HMGCL
AR,RIMS3
AR,SLC2A5
AR,FLII
AR,GUCA2A
AR,ZDHHC18
AR,PMP22
AR,POLR3E
AR,AK4
AR,SEMA4A
AR,SEMA7A
AR,SLAMF8
AR,GDE1
AR,SRRM2
AR,MPRIP
AR,FUCA1
AR,CALB2
AR,DCAF6
AR,CASQ1
AR,ACLY
AR,TRAP1
AR,NR1I3
AR,TGM5
AR,PLSCR3
AR,AMPD1
AR,KLHDC8A
AR,RHOT2
AR,MED31
AR,GNB5
AR,POU2F1
AR,PMF1
AR,CLCA4
AR,OR2C1
AR,GRIK3
AR,CHIA
AR,MUTYH
AR,IL32
AR,YBX1
AR,PIGV
AR,TNFSF18
AR,TSR1
AR,KIF21B
AR,PLA2G2D
AR,TOE1
AR,TTC22
AR,KDM4A
AR,PIK3C2B
AR,OAZ2
AR,SRSF10
AR,MYO1C
AR,MIIP
AR,IFI44L
AR,CREG1
AR,HSF4
AR,POLDIP2
AR,TBKBP1
AR,PGLYRP4
AR,MYLK3
AR,GPA33
AR,ASTN1
AR,APCS
AR,CEP170B
AR,ATP2A3
AR,PRM2
AR,TNN
AR,MAP2K3
AR,ANGPTL7
AR,FANCA
AR,NPR1
AR,TMED3
AR,FBN1
AR,MAPK7
AR,EPN2
AR,PRPF38B
AR,MTOR
AR,IPO9
AR,ZNF688
AR,POMGNT1
AR,MAN2C1
AR,SH2D2A
AR,MPC2
AR,RGSL1
AR,ATP8B2
AR,GUCA2B
AR,COPS3
AR,EMP2
AR,PEF1
AR,NPHP4
AR,DPH2
AR,RER1
AR,CCL22
AR,INPP5K
AR,GNG13
AR,NME4
AR,DNTTIP2
AR,EPB41
AR,S100A4
AR,PTAFR
AR,SZT2
AR,KDM6B
AR,TMEM222
AR,VAC14
AR,NOS1AP
AR,SZRD1
AR,POGK
AR,RGL1
AR,ACADM
AR,SDHC
AR,ARID3B
AR,PLD2
AR,VPS13D
AR,SMG6
AR,GALE
AR,SLC25A24
AR,SCAND2P
AR,NDC1
AR,PADI3
AR,RPL3L
AR,EXTL1
AR,TGFB1I1
AR,PRSS8
AR,FZD2
AR,EMC1
AR,DPM3
AR,GPATCH8
AR,SV2B
AR,FNBP1L
AR,CHRNB1
AR,S100A8
AR,APRT
AR,PER1
AR,NLK
AR,MAPK8IP3
AR,FGR
AR,PAQR6
AR,ETV4
AR,ATP6V0C
AR,AUNIP
AR,INSL5
