TF,Target
CTCF,MLPH
CTCF,HEXB
CTCF,CYP1A2
CTCF,PRDX2
CTCF,ENPP4
CTCF,SAMD4A
CTCF,MSL2
CTCF,ANAPC5
CTCF,CRK
CTCF,SPIN1
CTCF,OVOL2
CTCF,LCP1
CTCF,PRG3
CTCF,PHF8
CTCF,TGFB2
CTCF,VAMP4
CTCF,MAMLD1
CTCF,SLC50A1
CTCF,ARID3B
CTCF,G0S2
CTCF,ALDH3B1
CTCF,TOMM34
CTCF,R3HCC1
CTCF,IL1RAPL2
CTCF,CCNE2
CTCF,ISG15
CTCF,STOML1
CTCF,APPL2
CTCF,MEGF6
CTCF,CLCF1
CTCF,THYN1
CTCF,KCNAB2
CTCF,FST
CTCF,ZC4H2
CTCF,YTHDF1
CTCF,POFUT2
CTCF,ANO1
CTCF,PHC2
CTCF,SORBS3
CTCF,KAZN
CTCF,COASY
CTCF,GID8
CTCF,HOXA11
CTCF,OBSCN
CTCF,BUB1
CTCF,DNASE1L1
CTCF,ATF3
CTCF,SH2B2
CTCF,SBNO2
CTCF,PPP2R5C
CTCF,DVL1
CTCF,ENC1
CTCF,FBXO9
CTCF,CHST15
CTCF,HNRNPL
CTCF,SLC29A2
CTCF,EFNA1
CTCF,CXCL3
CTCF,R3HDM4
CTCF,CEP170
CTCF,IRAK1
CTCF,ZC3H14
CTCF,RHOD
CTCF,GNB1L
CTCF,MYLK
CTCF,IRF2BP1
CTCF,TAZ
CTCF,GNG5
CTCF,FBXO3
CTCF,ELK3
CTCF,GPC1
CTCF,TTC9
CTCF,TFR2
CTCF,F3
CTCF,SPP2
CTCF,CDC37
CTCF,PBRM1
CTCF,NR2F6
CTCF,CBX2
CTCF,C1orf35
CTCF,DEPTOR
CTCF,GRP
CTCF,ACOX3
CTCF,ZNF91
CTCF,TMCO3
CTCF,CYFIP2
CTCF,GATA6
CTCF,CDH17
CTCF,ALG6
CTCF,RSAD1
CTCF,DOCK4
CTCF,CHST7
CTCF,CCND3
CTCF,FOXC1
CTCF,ZDHHC18
CTCF,PPP1CB
CTCF,CTBP1
CTCF,RRBP1
CTCF,TIPIN
CTCF,DGKD
CTCF,MED9
CTCF,TMEM120B
CTCF,PPDPF
CTCF,LAMTOR2
CTCF,DPP3
CTCF,ACAN
CTCF,BMI1
CTCF,ASL
CTCF,EEF1D
CTCF,PCOLCE
CTCF,HOXB13
CTCF,NR1H2
CTCF,LHX6
CTCF,NAT1
CTCF,LRRC17
CTCF,DIO3
CTCF,RWDD3
CTCF,GSDMD
CTCF,FBXL6
CTCF,UBL5
CTCF,SLC52A2
CTCF,ZNF354A
CTCF,CLDN8
CTCF,PIGT
CTCF,WBP1L
CTCF,HTR2A
CTCF,SRPX2
CTCF,SAC3D1
CTCF,MAP2
CTCF,SGMS1
CTCF,GPA33
CTCF,TMEM100
CTCF,BANF1
CTCF,ERBB2
CTCF,NAV3
CTCF,LIMS2
CTCF,F2RL1
CTCF,FKBP1A
CTCF,RNASEH2A
CTCF,DPY19L4
CTCF,CLEC4M
CTCF,JAK3
